name	partnerprotein	partnerprotein_textbox	target_order	target_species	activity	taxonid	lc50	units	percentage_mortality	publication	other_citations	life_stage	instar	assay_material	assay_method	comment
APG00422	No	No	Lepidoptera	Diatraea grandiosella	Yes	61289					AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the ""protein construct"" was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00456	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			0-50% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00462	No	No	Coleoptera	Leptinotarsa decemlineata	Yes	7539					AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the ""protein construct"" was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00488	No	No	Hemiptera	Chinavia hilaris	Yes	244443			0.25		CN108271390A	larvae			Diet incorporation	No specific concentration provided for observed mortality %.
APG00500	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			60-100% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00542	No	No	Hemiptera	Chinavia hilaris	Yes	244443			0.25		CN108271390A	larvae			Diet incorporation	No specific concentration provided for observed mortality %.
APG00647	No	No	Lepidoptera	Diatraea grandiosella	Yes	61289					AU2016252027B2	larvae	1st Instar		Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated there was ""some"" mortality and slight stunting observed."
APG00698	No	No	Lepidoptera	Diatraea grandiosella	Yes	61289					AU2016252027B2	larvae	1st Instar		Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated there was ""some"" mortality and slight stunting observed."
APG00801	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			0-50% at 60 ul		AU2016252027B2	larvae	1st Instar		Diet incorporation	"It was stated that 60 ul of the protein construct was added onto the surface of diet	 with a total of 500 ul of diet in each of 24 wells."
APG00994	No	No	Hemiptera	Chinavia hilaris	Yes	244443			0.25		CN108271390A	larvae			Diet incorporation	No specific concentration provided for observed mortality %.
APG01037.1	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			1		CN109312354A	larvae	1st Instar		Diet incorporation	It was stated that 500 ul of the diet was used and the amount of protein construct/lysate was assessed in measurement
ATX2024	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			75% at 40 ul	10.1016/j.jip.2016.10.004		larvae	1st Instar	Purified protein	Diet incorporation	"Severe uniform (76-100%) stunting observd	 washed cell pellet sample. It was stated that approximately 40 µl of the protein sample was applied to the surface of each well (with 1 ml of diet in each well) which resulted in the mortality observed."
AfIP-1A-31	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390	1.151	ppm			"US20170006867A1
"	larvae	1st Instar	Purified protein	Diet incorporation	
AfIP-1B-32	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390	1.158	ppm			US20170006867A1 	larvae	1st Instar	Purified protein	Diet incorporation	
AflP-1A	Yes	AflP-1B	Coleoptera	Diabrotica virgifera virgifera	Yes	50390	30.4	ppm		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Diet incorporation	
AflP-1A	Yes	AflP-1B	Coleoptera	Diabrotica undecimpunctata	Yes	50387	11.2	ppm	 	10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Diet incorporation	
AflP-1A	Yes	AflP-1B	Coleoptera	Coleomegilla maculata	No	279632	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Not specified	
AflP-1A	Yes	AflP-1B	Lepidoptera	Anticarsia gemmatalis	No	129554	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Surface contamination	Stunting when used in combination at 125ppm
AflP-1A	Yes	AflP-1B	Coleoptera	Diabrotica barberi	Yes	50386	greater than 240	ppm	 	10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Diet incorporation	12.5% mortality at 240ppm
AflP-1A	Yes	AflP-1B	Lepidoptera	Spodoptera frugiperda	No	7108	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9		Larvae	1st Instar	Purified_protein	Surface contamination	
AflP-1A	Yes	AflP-1B	Lepidoptera	Agrotis ipsilon	No	56364	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Surface contamination	
AflP-1A	Yes	AflP-1B	Lepidoptera	Chrysodeixis includens	No	689277	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Surface contamination	Stunting when used in combination at 125ppm
AflP-1A	Yes	AflP-1B	Lepidoptera	Ostrinia nubilalis	No	29057	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Surface contamination	
AflP-1A	Yes	AflP-1B	Lepidoptera	Helicoverpa zea	No	7113	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Surface contamination	
AflP-1B	Yes	AflP-1A	Lepidoptera	Ostrinia nubilalis	No	29057	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Surface contamination	
AflP-1B	Yes	AflP-1A	Lepidoptera	Helicoverpa zea	No	7113	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Surface contamination	
AflP-1B	Yes	AflP-1A	Lepidoptera	Chrysodeixis includens	No	689277	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Surface contamination	Stunting when used in combination at 125ppm
AflP-1B	Yes	AflP-1A	Lepidoptera	Anticarsia gemmatalis	No	129554	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Surface contamination	Stunting when used in combination at 125ppm
AflP-1B	Yes	AflP-1A	Coleoptera	Diabrotica virgifera virgifera	Yes	50390	30.4	ppm		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Diet incorporation	
AflP-1B	Yes	AflP-1A	Lepidoptera	Agrotis ipsilon	No	56364	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Surface contamination	
AflP-1B	Yes	AflP-1A	Coleoptera	Diabrotica undecimpunctata	Yes	50387	11.2	ppm	 	10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Diet incorporation	
AflP-1B	Yes	AflP-1A	Coleoptera	Diabrotica barberi	Yes	50386	greater than 241	ppm	 	10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Diet incorporation	12.5% mortality at 240ppm
AflP-1B	Yes	AflP-1A	Coleoptera	Coleomegilla maculata	No	279632	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9 		Larvae	1st Instar	Purified protein	Not specified	
AflP-1B	Yes	AflP-1A	Lepidoptera	Spodoptera frugiperda	No	7108	"NA	 not toxic"	NA not toxic		10.1038/s41598-017-03544-9		Larvae	1st Instar	Purified_protein	Surface contamination	
App6Aa1	No	No	Nematoda	Meloidogyne incognita	Yes	13164	 	 	 		US 2011/0225681					
App6Aa1	No	No	Nematoda	Pristionchus pacificus	No	54126	"NA	 not toxic"	NA not toxic		10.1073/pnas.0538072100 				Other (add to comments)		Recombinant E. coli
App6Aa1	No	No	Nematoda	Panagrellus redivivus	Yes	6233	 	 		10.1073/pnas.0538072100 				Other (add to comments)		Recombinant E. coli
App6Aa1	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390	 	 	0.975	10.1371/journal.pone.0053079.g001 			1st Instar	Purified protein	Surface contamination	
App6Aa1	No	No	Nematoda	Nippostrongylus brasiliensis	No	27835	"NA	 not toxic"	NA not toxic		10.1073/pnas.0538072100 				Other (add to comments)		Recombinant E. coli
App6Aa1	No	No	Nematoda	Meloidogyne incognita	Yes	13164	 	 	 	10.1111/j.1467-7652.2007.00257.x				Transgenic plant		
App6Aa1	No	No	Nematoda	Acrobeloides spp	Yes	70201	 	 	 	10.1111/j.1467-7652.2007.00257.x						
App6Aa1	No	No	Nematoda	Distolabrellus veechi	Yes	96664	 	 		10.1073/pnas.0538072100 				Other (add to comments)		Recombinant E. coli
App6Aa1	No	No	Nematoda	Caenorhabditis elegans	Yes	6239	 	 		10.1073/pnas.0538072100 				Other (add to comments)		Recombinant E. coli
App6Aa1	No	No	Nematoda	Acrobeloides sp	Yes	70201	 	 		10.1073/pnas.0538072100 				Other (add to comments)		Recombinant E. coli
App6Aa1	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390	77	µg/cm2	 		US Patent 5874288			Purified protein		"Trypsin activated form is toxic	 unprocessed form is not"
App6Aa1	No	No	Nematoda	Heterodera glycines	Yes	51029	 	 	 		US 2011/0225681					
App6Aa2	No	No	Nematoda	Bursaphelenchus xylophilus	Yes	6326	49.71	µg/ml		10.1016/j.jip.2022.107726				Purified protein	Addition to water	4th stage juveniles assayed.
App6Aa2	No	No	Nematoda	Caenorhabditis elegans	Yes	6239	16302	ng/ml		10.1111/lam.12219		Larvae	4th instar		diet incorporation	Resistant to:  Cry5B
App6Aa2	No	No	Nematoda	Meloidogyne incognita	Yes	13164	383.42	µg/ml	 	10.1111/j.1751-7915.2011.00295.x 				Purified protein		J2 stage assayed
App6Aa2	No	No	Nematoda	Meloidogyne incognita	Yes	13164	383.42	µg/ml	 	10.1111/j.1751-7915.2011.00295.x			2nd Instar			
App6Aa2	No	No	Nematoda	Meloidogyne hapla	Yes	6305	23.9	µg/ml	 	10.1128/AEM.01346-08				Purified protein		J2 stage assayed
App6Aa2	No	No	Nematoda	Meloidogyne hapla	Yes	6305	23.9	µg/ml	 	10.1128/AEM.01346-08			2nd Instar			
App6Aa2	No	No	Nematoda	Caenorhabditis elegans	Yes	6239	6.345	µg/ml	 	10.1007/s00253-013-5249-3 		Larvae	4th Instar			"Concentration measured in GI50	 not lc50"
App6Aa2	No	No	Nematoda	Caenorhabditis elegans	Yes	6239			approx. 40% at 10 µg/ml	10.1371/journal.ppat.1008501	Larvae		1st Instar	Purified protein	Addition to water	
App6Ba1	No	No	Nematoda	Acrobeloides sp	No	70201	"NA	 not toxic"	NA not toxic		10.1073/pnas.0538072100 				Other (add to comments)		Recombinant E. coli
App6Ba1	No	No	Coleoptera	Hypera postica¬†	Yes	36757	 	 	0.86	10.1007/s00284-010-9749-4 			1st Instar	Purified protein	Surface contamination	
App6Ba1	No	No	Nematoda	Panagrellus redivivus	No	6233	"NA	 not toxic"	NA not toxic		10.1073/pnas.0538072100 				Other (add to comments)		Recombinant E. coli
App6Ba1	No	No	Nematoda	Caenorhabditis elegans	No	6239	"NA	 not toxic"	NA not toxic		10.1073/pnas.0538072100 				Other (add to comments)		Recombinant E. coli
App6Ba1	No	No	Nematoda	Distolabrellus veechi	No	96664	"NA	 not toxic"	NA not toxic		10.1073/pnas.0538072100 				Other (add to comments)		Recombinant E. coli
App6Ba1	No	No	Nematoda	Pristionchus pacificus	No	54126	"NA	 not toxic"	NA not toxic		10.1073/pnas.0538072100 				Other (add to comments)		Recombinant E. coli
Axmi-004	No	No	Hemiptera	Lygus lineolaris	Yes	50650			50% at 0.4 µg/µl		US8173590B2	nymph	1st and 2nd Instar			"It was stated that after performing electrophoresis	 the concentratinon of the protein sample used was determined to be 0.4 ?g/ul"
Axmi-036	No	No	Hemiptera	Lygus lineolaris	Yes	50650			60% at 175 µg/ul		US20100137216A1					It was stated that the protein in question was mixed at a ratio of 1:1 with a liquid diet and tested at the listed concentration of 175 ?g/ul.
Axmi-066	No	No	Lepidoptera	Helicoverpa zea	Yes	7113					CN101878222B	larvae		Spore and/or crystal suspension		"No specific concentration 	 LD50	 or % mortality provided- only stated there was activity observed as ""++"""
Axmi-066	No	No	Lepidoptera	Heliothis virescens	Yes	7102					CN101878222B	larvae		Spore and/or crystal suspension		"No specific concentration 	 LD50	 or % mortality provided- only stated there was activity observed as ""++"""
Axmi-066	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108					CN101878222B	larvae		Spore and/or crystal suspension		"No specific concentration 	 LD50	 or % mortality provided- only stated there was activity observed as ""++"""
Axmi-066	No	No	Lepidoptera	Anticarsia gemmatalis	Yes	129554					CN101878222B	larvae		Spore and/or crystal suspension		"No specific concentration 	 LD50	 or % mortality provided- only stated there was activity observed as ""+++"""
Axmi-076	No	No	Lepidoptera	Heliothis virescens	Yes	7102					CN101878222B	larvae		Spore and/or crystal suspension		"No specific concentration 	 LD50	 or % mortality provided- only stated there was activity observed as ""++++"""
Axmi-076	No	No	Lepidoptera	Anticarsia gemmatalis	Yes	129554					CN101878222B	larvae		Spore and/or crystal suspension		"No specific concentration 	 LD50	 or % mortality provided- only stated there was activity observed as ""++++"""
Axmi-076	No	No	Lepidoptera	Helicoverpa zea	Yes	7113					CN101878222B	larvae		Spore and/or crystal suspension		"No specific concentration 	 LD50	 or % mortality provided- only stated there was activity observed as ""+++"""
Axmi-076	No	No	Lepidoptera	Spodoptera frugiperda	Yes	7108					CN101878222B	larvae		Spore and/or crystal suspension		"No specific concentration 	 LD50	 or % mortality provided- only stated there was activity observed as ""++"""
Axmi-171.2	No	No	Hemiptera	Lygus hesperus	Yes	30085			99% at 500 ppm		EP2957638B1	larvae				"For Axmi171.2 Fusion protein	 it was stated that a precipitated version of the protein (cut pellet) was resuspended in water	 creating a final concentration of 500 ppm."
Axmi-205	No	No	Coleoptera	Diabrotica virgifera virgifera	Yes	50390			0.25		EP2449109B1					No specific concentration of the dose used to achieve the observed % mortality was given.
Axmi113	No	No	Lepidoptera	Diatraea grandiosella	Yes	61289			20% at 40 µl		US9909140B2	larvae	1st Instar		Diet incorporation	It was stated that 40 µl of the protein sample was added to the diet surface.
Axmi115	No	No	Lepidoptera	Diatraea grandiosella	Yes	61289			80% at 40 µl		US9909140B2	larvae	1st Instar		Diet incorporation	It was stated that 40 µl of the protein sample was added to the diet surface.
Axmi134	No	No	Lepidoptera	Plutella xylostella	Yes	51655			60% at 200 µg/µl		US9238823B2					
Axmi150	No	No	Lepidoptera	Plutella xylostella	Yes	51655			greater than 50%		EP2379724B1					No specific concentration of the dose used to achieve the observed % mortality was given.
Axmi218	No	No	Lepidoptera	Plutella xylostella	Yes	51655					"CN102892886A
"					"No specific concentration 	 LD50	 or % mortality provided- only stated there was ""slight inhomogenous growth inhibiting"""
Axmi220	No	No	Lepidoptera	Plutella xylostella	Yes	51655			1		US9156895B2	larvae			Diet incorporation	"No specific concentration of the dose used to achieve the observed % mortality was given. It was stated that the ""protein was tested in the bioassay as a 10x concentrated pellet""."
Axmi221z	No	No	Lepidoptera	Plutella xylostella	Yes	51655			greater than 75%		HUE035576T2			Purified protein		"A truncated version of the protein was used to achieve this result	 sever stunt. No specific concentration of the dose used to achieve the observed % mortality was given. It was stated that the ""protein was tested in the bioassay as a 10x concentrated pellet""."
Axmi222z	No	No	Lepidoptera	Plutella xylostella	Yes	51655			greater than 75%		HUE035576T2			Purified protein		"Severe stunting observed. No specific concentration of the dose used to achieve the observed % mortality was given. It was stated that the ""protein was tested in the bioassay as a 10x concentrated pellet""."
Axmi223z	No	No	Lepidoptera	Plutella xylostella	Yes	51655			greater than 75%		HUE035576T2			Purified protein		"Severe stunting observed. No specific concentration of the dose used to achieve the observed % mortality was given. It was stated that the ""protein was tested in the bioassay as a 10x concentrated pellet""."
Axmi224z	No	No	Lepidoptera	Helicoverpa zea	Yes	7113			greater than 75%		HUE035576T2			Purified protein		"Alternate start point on gene with plasmid pAX7634	 severe stunting observed. No specific concentration of the dose used to achieve the observed % mortality was given. It was stated that the ""protein was tested in the bioassay as a 10x concentrated pellet""."
Axmi225z	No	No	Lepidoptera	Helicoverpa zea	Yes	7113			greater than 75%		HUE035576T2			Purified protein		"Truncated version of gene with plasmid pAX6891	 severe stunting observed. No specific concentration of the dose used to achieve the observed % mortality was given. It was stated that the ""protein was tested in the bioassay as a 10x concentrated pellet""."
Axmi238	No	No	Lepidoptera	Plutella xylostella	Yes	51655			1		US9321814B2					No specific concentration of the dose used to achieve the observed % mortality was given.
Axmi277	No	No	Nematoda	Caenorhabditis elegans	Yes	6239			0.8		CN103998610A					No specific concentration of the dose used to achieve the observed % mortality was given.
Axmi335	No	No	Lepidoptera	Plutella xylostella	Yes	51655			0.25		ES2630059T3	larvae		Purified protein		No specific concentration of protein was given for the observed mortality.
Axmi345	No	No	Lepidoptera	Plutella xylostella	Yes	51655			1		US9725735B2				Diet incorporation	No specific concentration of the dose used to achieve the observed % mortality was given.
Axmi368	No	No	Hemiptera	Aphis glycines	Yes	307491			greater than 75		JP6957583B2	Larvae			Diet incorporation	"No specific concentration 	 LC50	 or % mortality provided- only stated that there was intense uniform stunting (74-26% size of control) and a mortality % of > 75."
Axmi400	No	No	Hemiptera	Aphis glycines	Yes	307491			greater than or = 75%		JP6957583B2	larvae			Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated that there was slight stunting (75% size of control) and mortality % of 75 or less. A truncated version of the protein was used."
Axmi402	No	No	Hemiptera	Aphis glycines	Yes	307491			greater than or = 25%		JP6957583B2	larvae			Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated that there was slight stunting (75% size of control) and mortality % of 25 or less."
Axmi403	No	No	Hemiptera	Aphis glycines	Yes	307491			greater than or = 75%		JP6957583B2	larvae			Diet incorporation	"No specific concentration 	 LD50	 or % mortality provided- only stated that there was slight stunting (75% size of control) and mortality % of 75 or less. A truncated version of the protein was used."
